index,name,path,length,lengths_mean_dist,pdb_id
7738,d1wuua2,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d1wuua2,174,0.125055748818113,G:\code\ss_ml\scp40pdb\pdb\d1wuua2.pdb
45,d1yb5a2,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d1yb5a2,174,0.125055748818113,G:\code\ss_ml\scp40pdb\pdb\d1yb5a2.pdb
377,d1c4oa2,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d1c4oa2,174,0.125055748818113,G:\code\ss_ml\scp40pdb\pdb\d1c4oa2.pdb
7758,d1l5aa1,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d1l5aa1,174,0.125055748818113,G:\code\ss_ml\scp40pdb\pdb\d1l5aa1.pdb
7058,d3heia_,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d3heia_,174,0.125055748818113,G:\code\ss_ml\scp40pdb\pdb\d3heia_.pdb
6084,d1gsha2,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d1gsha2,174,0.125055748818113,G:\code\ss_ml\scp40pdb\pdb\d1gsha2.pdb
6970,d1ciia1,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d1ciia1,174,0.125055748818113,G:\code\ss_ml\scp40pdb\pdb\d1ciia1.pdb
9055,d3juia_,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d3juia_,174,0.125055748818113,G:\code\ss_ml\scp40pdb\pdb\d3juia_.pdb
10907,d1knca_,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d1knca_,174,0.125055748818113,G:\code\ss_ml\scp40pdb\pdb\d1knca_.pdb
4279,d1rtta_,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d1rtta_,174,0.125055748818113,G:\code\ss_ml\scp40pdb\pdb\d1rtta_.pdb
8190,d1jqra_,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d1jqra_,174,0.125055748818113,G:\code\ss_ml\scp40pdb\pdb\d1jqra_.pdb
